track_name,track_id,album_name,release_date,album_popularity,album_id,artist_id
Scared To Start,3Pbp7cUCx4d3OAkZSCoNvn,Scared To Start,2024-01-12,85,3NpeIWhWsxU7d3XL5KEh39,4j96cMcT8GRi11qbvo1cLQ
The Night We Met,3hRV0jL3vUpRrcy398teAU,Strange Trails,2015-04-06,84,4sD1qg4jwTZR4mvR4Iflk5,6ltzsmQQbmdoHHbLZ4ZN25
Water,5aIVCx5tnk0ntmdiinnYvw,Water,2023-07-28,85,22sXXkKgjEuawIFL1e1tRw,3SozjO3Lat463tQICI9LcE
Unwritten,3U5JVgI2x4rDyHGObzJfNf,Unwritten,2004-08-30,86,3PEzTAuPW5IjLJ58FzwQeL,7o95ZoZt5ZYn31e9z1Hc0a
We Still Don't Trust You,7sVbKoBdhXtYCEOO6qC1SN,WE STILL DON'T TRUST YOU,2024-04-12,92,3bSNhnaQQXpC639OQ4pMyP,1RyvyyTE3xzB2ZywiAwp0i
We Still Don't Trust You,7sVbKoBdhXtYCEOO6qC1SN,WE STILL DON'T TRUST YOU,2024-04-12,92,3bSNhnaQQXpC639OQ4pMyP,0iEtIxbK0KxaSlF7G42ZOp
We Still Don't Trust You,7sVbKoBdhXtYCEOO6qC1SN,WE STILL DON'T TRUST YOU,2024-04-12,92,3bSNhnaQQXpC639OQ4pMyP,1Xyo4u8uXC1ZmMpatF05PJ
Belong Together,5uQ7de4EWjb3rkcFxyEOpu,Belong Together,2024-02-16,83,3PlCMwyq6nuQYtoYproV1o,11p2E654TTU8e0nZWBR4AL
Pedro,48lxT5qJF0yYyf2z4wB4xW,Pedro,2024-03-29,79,5y6RXjI5VPR0RyInghTbf1,1c3uso4iIeeX3P0bhKaQDq
Pedro,48lxT5qJF0yYyf2z4wB4xW,Pedro,2024-03-29,79,5y6RXjI5VPR0RyInghTbf1,124jbwgd8Hh6LW7jAqTa8r
Pedro,48lxT5qJF0yYyf2z4wB4xW,Pedro,2024-03-29,79,5y6RXjI5VPR0RyInghTbf1,6EVyI0S0b1Ld2nm37m5x85
redrum,52eIcoLUM25zbQupAZYoFh,american dream,2024-01-12,92,2RRYaYHY7fIIdvFlvgb5vq,1URnnhqYAYcrqrcwql10ft
Seven (feat. Latto) (Explicit Ver.),2HRgqmZQC0MC7GeNuDIXHN,GOLDEN,2023-11-03,93,5pSk3c3wVwnb2arb6ohCPU,6HaGTQPmzraVmaVxvz6EUc
Seven (feat. Latto) (Explicit Ver.),2HRgqmZQC0MC7GeNuDIXHN,GOLDEN,2023-11-03,93,5pSk3c3wVwnb2arb6ohCPU,3MdXrJWsbVzdn6fe5JYkSQ
I Remember Everything (feat. Kacey Musgraves),4KULAymBBJcPRpk1yO4dOG,Zach Bryan,2023-08-25,91,6PbnGueEO6LGodPfvNldYf,40ZNYROS4zLfyyBSs2PGe2
I Remember Everything (feat. Kacey Musgraves),4KULAymBBJcPRpk1yO4dOG,Zach Bryan,2023-08-25,91,6PbnGueEO6LGodPfvNldYf,70kkdajctXSbqSMJbQO424
Evergreen,6me7F0aaZjwDo6RJ5MrfBD,RMCM,2017-05-17,84,2weOG4ZiOjfxiuFMsHm9JQ,4qU7IJSReZnsLy5907Mtau
Training Season,6Qb7YsAqH4wWFUMbGsCpap,Training Season,2024-02-15,85,3sqC2sXZc0b9r7WM9z3784,6M2wZ9GZgrQXHCFfjv46we
PERRO NEGRO,7iQXYTyuG13aoeHxGG28Nh,nadie sabe lo que va a pasar mañana,2023-10-13,94,4FftCsAcXXD1nFO9RFUNFO,4q3ewBCX7sLwd24euuV69X
PERRO NEGRO,7iQXYTyuG13aoeHxGG28Nh,nadie sabe lo que va a pasar mañana,2023-10-13,94,4FftCsAcXXD1nFO9RFUNFO,2LRoIwlKmHjgvigdNGBHNo
Houdini,4OMJGnvZfDvsePyCwRGO7X,Houdini,2023-11-09,85,5pTaRVLwZOFObIbRBubmeb,6M2wZ9GZgrQXHCFfjv46we
Tell Ur Girlfriend,3lMzT16MjAKKXF7pSZn13B,Tell Ur Girlfriend,2024-02-07,79,0S8DGX9LmBkRSVi3ywcCOT,4OVbrPbhvK46A1uXTU1u5F
Starboy,7MXVkk9YMctZqd1Srtv4MB,Starboy,2016-11-25,91,2ODvWsOgouMbaA5xf0RkJe,1Xyo4u8uXC1ZmMpatF05PJ
Starboy,7MXVkk9YMctZqd1Srtv4MB,Starboy,2016-11-25,91,2ODvWsOgouMbaA5xf0RkJe,4tZwfgrHOc3mvqYlEYSvVi
Feather,2Zo1PcszsT9WQ0ANntJbID,emails i can’t send fwd:,2023-03-17,86,2g4aJTa5ejGpp0O0GKzWAQ,74KM79TiuVKeVCqs8QtB0B
Another Love,7jtQIBanIiJOMS6RyCx6jZ,Long Way Down,2013-06-17,58,0KGBW1MQtC2aFPCDUdAkdJ,2txHhyCwHjUEpJjWrEyqyX
intro (end of the world),2o1pb13quMReXZqE7jWsgq,eternal sunshine,2024-03-08,98,5EYKrEDnKhhcNxGedaRQeK,66CXWjxzNUsdJxJ2JdwvnR
Slow It Down,51eSHglvG1RJXtL3qI5trr,Fireworks & Rollerblades,2024-04-05,89,168CdR21lfn0TTyw1Pkdcm,22wbnEMDvgVIAGdFeek6ET
QLONA,5RqSsdzTNPX1uzkmlHCFvK,MAÑANA SERÁ BONITO (BICHOTA SEASON),2023-08-10,89,0FqAaUEyKCyUNFE1uQPZ7i,790FomKkXshlbRYZFtlgla
QLONA,5RqSsdzTNPX1uzkmlHCFvK,MAÑANA SERÁ BONITO (BICHOTA SEASON),2023-08-10,89,0FqAaUEyKCyUNFE1uQPZ7i,12GqGscKJx3aE4t07u7eVZ
